Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets in Rupees,Liabilities in Rupees,coordinates,lat,lng
1,A M Ariff,ALAPPUZHA,CPI(M),2,Graduate Professional,15268906.0,2220700.0,9.51; 76.34,9.51,76.34
2,A Narayanaswamy,CHITRADURGA,BJP,0,Graduate,96197642.0,0.0,14.2; 76.4,14.2,76.4
3,A. Raja,NILGIRIS,DMK,6,Graduate Professional,49591024.0,1424914.0,11.5; 76.6,11.5,76.6
4,Abdul Khaleque,BARPETA,INC,0,Post Graduate,7398753.0,2703693.0,26.32; 91.00,26.32,91.0
5,Abhishek Banerjee,DIAMOND HARBOUR,AITC,0,Graduate,13794320.0,0.0,22.1910091; 88.1904741,22.1910091,88.1904741
6,Abu Hasem Khan Chowdhury,MALDAHA DAKSHIN,INC,0,Doctorate,270959520.0,728107.0,24.8515889; 88.0109596,24.8515889,88.0109596
7,Abu Taher Khan,MURSHIDABAD,AITC,3,8th Pass,8926616.0,1350000.0,24.18; 88.27,24.18,88.27
8,Achyutananda Samanta,KANDHAMAL,BJD,0,Doctorate,1244722.0,0.0,20.177813; 84.173564,20.177813,84.173564
9,Adala Prabhakara Reddy,NELLORE,YSRCP,0,12th Pass,2211663364.0,152281255.0,14.4; 80.0,14.4,80.0
10,Adhir Ranjan Chowdhury,BAHARAMPUR,INC,7,10th Pass,101315437.0,8506984.0,24.1; 88.25,24.1,88.25
11,Adoor Prakash,ATTINGAL,INC,7,Graduate Professional,144098612.0,27622685.0,8.6800; 76.8300,8.68,76.83
12,Afzal Ansari,GHAZIPUR,BSP,5,Post Graduate,137938756.0,0.0,25.58; 83.58,25.58,83.58
13,Agatha K. Sangma,TURA,NPP,0,Post Graduate,29406813.0,0.0,25.52; 90.19,25.52,90.19
14,Ajay Bhatt,NAINITAL-UDHAMSINGH NAGAR,BJP,0,Graduate Professional,19699529.0,0.0,29.2; 79.52,29.2,79.52
15,Ajay Kumar,KHERI,BJP,1,Graduate Professional,45295455.0,0.0,27.92; 80.73,27.92,80.73
16,Ajay Kumar Mandal,BHAGALPUR,JD(U),0,8th Pass,6801126.0,5364747.0,25.2; 87.0,25.2,87.0
17,Ajay Nishad,MUZAFFARPUR,BJP,1,Graduate,298867486.0,15714320.0,26.1; 85.4,26.1,85.4
18,Ajay Singh Dharmendra Deol (Sunny Deol),GURDASPUR,BJP,0,Others,871925679.0,534644785.0,32.0; 75.4,32.0,75.4
19,Ajay Tamta,ALMORA,BJP,0,12th Pass,9910448.0,55845.0,29.6; 79.6,29.6,79.6
20,Akhilesh Yadav,AZAMGARH,SP,0,Graduate Professional,377859166.0,2853000.0,26.06; 83.19,26.06,83.19
21,Akshayabar Lal,BAHRAICH,BJP,0,10th Pass,45691463.0,3028133.0,27.58; 81.6,27.58,81.6
22,Amar Singh,FATEHGARH SAHIB,INC,0,Post Graduate,32808836.0,0.0,30.65; 76.39,30.65,76.39
23,Amit Shah,GANDHINAGAR,BJP,4,12th Pass,403275307.0,4769587.0,23.2; 72.6,23.2,72.6
24,Amol Ramsing Kolhe,SHIRUR,NCP,0,Graduate Professional,43351521.0,1488116.0,18.8; 74.4,18.8,74.4
25,Anantkumar Hegde,UTTARA KANNADA,BJP,4,12th Pass,84755455.0,41016655.0,14.7; 74.6,14.7,74.6
26,Angadi Suresh,BELGAUM,BJP,0,Graduate Professional,366164525.0,198479638.0,15.9; 74.5,15.9,74.5
27,Anil Firojiya,UJJAIN,BJP,0,12th Pass,26417937.0,3203766.0,23.2; 75.8,23.2,75.8
28,Annadurai C N,TIRUVANNAMALAI,DMK,0,Graduate,134897466.0,32243604.0,12.2; 79.1,12.2,79.1
29,Annapurna Devi,KODARMA,BJP,0,Post Graduate,97636939.0,3189066.0,24.467; 85.594,24.467,85.594
30,Annasaheb Shankar Jolle,CHIKKODI,BJP,0,12th Pass,344922831.0,195595693.0,16.4; 74.6,16.4,74.6
31,Anto Antony,PATHANAMTHITTA,INC,1,Graduate,6075876.0,7723227.0,9.3; 76.8,9.3,76.8
32,Anubhav Mohanty,KENDRAPARA,BJD,0,Graduate,22309172.0,4133506.0,20.497667; 86.424726,20.497667,86.424726
33,Anumula Revanth Reddy,MALKAJGIRI,INC,42,Graduate,245357182.0,27807304.0,17.45; 78.53,17.45,78.53
34,Anupriya Singh Patel,MIRZAPUR,Apna Dal (Soneylal),2,Post Graduate,26900662.0,1805603.0,25.14; 82.57,25.14,82.57
